cv,cf,twosigdown,onesigdown,exp,onesigup,twosigup
0.5,-3.0,0.139,0.1871,0.2632,0.3746,0.5147
0.5,-2.0,0.3029,0.4064,0.5718,0.8148,1.1184
0.5,-1.5,0.5179,0.6951,0.9785,1.3939,1.9121
0.5,-1.25,0.7204,0.9674,1.3623,1.9399,2.6595
0.5,-1.0,1.0633,1.4286,2.0127,2.8681,3.9321
0.5,-0.75,1.6994,2.2859,3.2256,4.5997,6.3114
0.5,-0.5,3.0057,4.0546,5.7422,8.2227,11.3218
0.5,-0.25,5.8239,7.8994,11.2734,16.3119,22.7257
0.5,-0.0,7.9012,10.5883,14.832,20.8846,28.2751
0.5,0.25,18.6998,25.0858,35.2969,50.2281,68.8261
0.5,0.5,5.7616,7.7385,10.9258,15.651,21.6916
0.5,0.75,2.5337,3.4031,4.8047,6.8803,9.5337
0.5,1.0,1.4149,1.8995,2.6807,3.836,5.3131
0.5,1.25,0.899,1.2072,1.7031,2.4372,3.373
0.5,1.5,0.6209,0.8334,1.1753,1.6818,2.3258
0.5,2.0,0.3459,0.4645,0.6548,0.9363,1.2932
0.5,3.0,0.1519,0.2039,0.2876,0.4105,0.5669
