cv,cf,twosigdown,onesigdown,exp,onesigup,twosigup
0.5,-3.0,0.3967,0.5379,0.7686,1.117,1.5716
0.5,-2.0,0.6963,0.9441,1.3452,1.9451,2.7193
0.5,-1.5,1.0366,1.4049,2.001,2.8883,4.0276
0.5,-1.25,1.3296,1.8018,2.5664,3.7019,5.1581
0.5,-1.0,1.7559,2.3817,3.3926,4.8936,6.8133
0.5,-0.75,2.4733,3.3565,4.7832,6.9019,9.6076
0.5,-0.5,3.7211,5.0507,7.2031,10.4009,14.4954
0.5,-0.25,6.2137,8.4425,12.0508,17.4247,24.3225
0.5,-0.0,12.1339,16.4836,23.5547,34.1173,47.6887
0.5,0.25,29.3691,39.8286,56.7969,82.1531,114.7416
0.5,0.5,56.7341,76.0281,106.5,150.8086,206.1517
0.5,0.75,29.8,39.7536,55.2812,77.5369,105.1753
0.5,1.0,12.6312,16.9376,23.7109,33.5048,45.7547
0.5,1.25,6.5318,8.7869,12.3633,17.5685,24.1299
0.5,1.5,3.9595,5.3348,7.5293,10.7443,14.8204
0.5,2.0,1.9082,2.5776,3.6523,5.2447,7.2796
0.5,3.0,0.7768,1.0521,1.4995,2.1727,3.0457
