cv,cf,twosigdown,onesigdown,exp,onesigup,twosigup
0.5,-3.0,0.4098,0.5628,0.8188,1.2154,1.7426
0.5,-2.0,0.6153,0.8484,1.2402,1.8502,2.6635
0.5,-1.5,0.8512,1.1755,1.7227,2.5758,3.716
0.5,-1.25,1.0552,1.4587,2.1396,3.2047,4.6282
0.5,-1.0,1.3594,1.8815,2.7646,4.1435,5.9942
0.5,-0.75,1.8795,2.6034,3.8301,5.7518,8.3279
0.5,-0.5,2.8046,3.8911,5.7324,8.6201,12.5009
0.5,-0.25,4.7236,6.5642,9.6836,14.5905,21.1843
0.5,-0.0,9.5672,13.2926,19.6328,29.6008,43.0487
0.5,0.25,25.4509,35.2464,51.8125,77.7316,112.4981
0.5,0.5,48.4422,66.0142,94.9375,138.7875,195.8797
0.5,0.75,21.5679,29.4374,42.3906,62.0124,87.5212
0.5,1.0,9.1294,12.5086,18.1172,26.6838,37.9055
0.5,1.25,4.8854,6.7067,9.7422,14.407,20.552
0.5,1.5,3.0762,4.2276,6.1465,9.1049,13.0037
0.5,2.0,1.6163,2.2205,3.2295,4.7871,6.8442
0.5,3.0,0.7821,1.0735,1.5581,2.3042,3.2917
