cv,cf,twosigdown,onesigdown,exp,onesigup,twosigup
1.5,-3.0,0.153,0.2078,0.2983,0.436,0.6168
1.5,-2.0,0.2111,0.2871,0.4126,0.603,0.8528
1.5,-1.5,0.2611,0.3554,0.5112,0.7479,1.0571
1.5,-1.25,0.297,0.4047,0.582,0.8523,1.2054
1.5,-1.0,0.3414,0.4658,0.6704,0.9824,1.3903
1.5,-0.75,0.404,0.5513,0.7939,1.1646,1.6485
1.5,-0.5,0.4884,0.667,0.9609,1.4096,1.9967
1.5,-0.25,0.6093,0.8315,1.1987,1.7596,2.4915
1.5,-0.0,0.7803,1.0656,1.5352,2.2526,3.1903
1.5,0.25,1.035,1.4109,2.0322,2.979,4.2168
1.5,0.5,1.4346,1.955,2.8115,4.1157,5.8152
1.5,0.75,2.0518,2.7898,4.002,5.8444,8.241
1.5,1.0,2.9524,4.007,5.7285,8.3316,11.6997
1.5,1.25,3.9405,5.3311,7.5918,10.9848,15.3394
1.5,1.5,4.4184,5.9635,8.4648,12.189,16.9333
1.5,2.0,3.1504,4.2564,6.0469,8.7042,12.0755
1.5,3.0,1.1149,1.5113,2.1582,3.1335,4.391
