cv,cf,twosigdown,onesigdown,exp,onesigup,twosigup
0.5,-3.0,0.1367,0.1837,0.2583,0.3674,0.5042
0.5,-2.0,0.2975,0.3993,0.562,0.7995,1.0961
0.5,-1.5,0.5093,0.6833,0.9614,1.3681,1.8747
0.5,-1.25,0.7084,0.9511,1.3384,1.9045,2.6087
0.5,-1.0,1.0468,1.4057,1.9795,2.8169,3.8567
0.5,-0.75,1.6722,2.2488,3.1709,4.5186,6.1898
0.5,-0.5,2.9573,3.9886,5.6445,8.0716,11.0951
0.5,-0.25,5.7237,7.7581,11.0586,15.979,22.2267
0.5,-0.0,7.6621,10.2526,14.3438,20.1756,27.2607
0.5,0.25,18.3769,24.6606,34.6875,49.3091,67.4932
0.5,0.5,5.635,7.5647,10.6758,15.2769,21.1429
0.5,0.75,2.4783,3.3281,4.6953,6.7189,9.2988
0.5,1.0,1.3848,1.8581,2.6211,3.7481,5.1851
0.5,1.25,0.8802,1.1818,1.666,2.3824,3.2931
0.5,1.5,0.6083,0.8161,1.1504,1.6439,2.2713
0.5,2.0,0.339,0.455,0.6411,0.9155,1.2639
0.5,3.0,0.1488,0.2,0.2817,0.4016,0.5541
