cv,cf,twosigdown,onesigdown,exp,onesigup,twosigup
1.5,-3.0,0.3999,0.5413,0.772,1.1201,1.5731
1.5,-2.0,0.6132,0.8277,1.1758,1.6978,2.3716
1.5,-1.5,0.8041,1.0847,1.5391,2.2177,3.0942
1.5,-1.25,0.9415,1.2698,1.8003,2.5923,3.6126
1.5,-1.0,1.1123,1.5002,2.127,3.0617,4.2641
1.5,-0.75,1.348,1.8178,2.5752,3.7082,5.1636
1.5,-0.5,1.6618,2.2403,3.1748,4.57,6.3648
1.5,-0.25,2.0989,2.831,4.0137,5.7775,8.0466
1.5,-0.0,2.7067,3.6495,5.1758,7.4581,10.3935
1.5,0.25,3.5787,4.8276,6.8496,9.8734,13.773
1.5,0.5,4.9037,6.6185,9.3945,13.5511,18.911
1.5,0.75,6.8407,9.2328,13.1055,18.904,26.3912
1.5,1.0,9.4125,12.6975,18.0156,25.9597,36.2195
1.5,1.25,11.6369,15.6848,22.2109,31.9386,44.4026
1.5,1.5,11.8734,15.9765,22.5781,32.3541,44.8509
1.5,2.0,7.6323,10.2681,14.5,20.7638,28.7261
1.5,3.0,2.5921,3.5004,4.9707,7.1626,9.9778
