cv,cf,twosigdown,onesigdown,exp,onesigup,twosigup
1.0,-3.0,0.2934,0.3959,0.562,0.8104,1.1285
1.0,-2.0,0.4742,0.6389,0.9043,1.2967,1.797
1.0,-1.5,0.6544,0.8813,1.2456,1.7831,2.4634
1.0,-1.25,0.7932,1.0676,1.5083,2.1576,2.9795
1.0,-1.0,0.9819,1.3217,1.8672,2.6701,3.6849
1.0,-0.75,1.2558,1.6894,2.3857,3.4116,4.7083
1.0,-0.5,1.6613,2.2362,3.1592,4.5176,6.2346
1.0,-0.25,2.2761,3.0636,4.3281,6.1914,8.543
1.0,-0.0,3.2898,4.4282,6.2559,8.9458,12.346
1.0,0.25,5.1376,6.9108,9.7695,13.9801,19.302
1.0,0.5,8.475,11.4034,16.0859,22.9868,31.7097
1.0,0.75,13.6132,18.2557,25.6484,36.4215,49.8795
1.0,1.0,15.7818,21.0615,29.3828,41.3438,56.111
1.0,1.25,11.7076,15.6138,21.7578,30.5715,41.4156
1.0,1.5,7.3986,9.8852,13.8125,19.4765,26.4607
1.0,2.0,3.2074,4.3012,6.043,8.5812,11.7424
1.0,3.0,1.077,1.4514,2.0537,2.946,4.0784
