cv,cf,twosigdown,onesigdown,exp,onesigup,twosigup
0.5,-3.0,0.2654,0.3559,0.5005,0.7125,0.9777
0.5,-2.0,0.4078,0.5468,0.769,1.0951,1.5013
0.5,-1.5,0.5952,0.7985,1.1235,1.5988,2.1908
0.5,-1.25,0.7715,1.0354,1.4575,2.0741,2.8397
0.5,-1.0,1.0705,1.4376,2.0244,2.8808,3.9442
0.5,-0.75,1.6237,2.1837,3.0791,4.3862,6.0095
0.5,-0.5,2.7588,3.7209,5.2656,7.5298,10.3503
0.5,-0.25,5.2021,7.0487,10.0508,14.5178,20.1978
0.5,-0.0,6.8838,9.2111,12.8867,18.1262,24.4916
0.5,0.25,16.5723,22.2462,31.2812,44.4826,60.876
0.5,0.5,5.1814,6.9557,9.8164,14.0472,19.4409
0.5,0.75,2.3567,3.1647,4.4648,6.3892,8.8424
0.5,1.0,1.3791,1.851,2.6104,3.7328,5.1639
0.5,1.25,0.9289,1.2472,1.7583,2.5144,3.4755
0.5,1.5,0.6859,0.921,1.2983,1.8553,2.5635
0.5,2.0,0.4464,0.5987,0.8442,1.2056,1.6637
0.5,3.0,0.2768,0.3715,0.5229,0.747,1.0299
