cv,cf,twosigdown,onesigdown,exp,onesigup,twosigup
1.0,-3.0,0.2307,0.3144,0.4526,0.6642,0.9417
1.0,-2.0,0.3345,0.4567,0.6587,0.9675,1.3715
1.0,-1.5,0.4342,0.5933,0.8574,1.2611,1.7903
1.0,-1.25,0.5106,0.6984,1.0103,1.4874,2.1118
1.0,-1.0,0.6152,0.8425,1.2197,1.7971,2.5542
1.0,-0.75,0.7677,1.0524,1.5249,2.249,3.1981
1.0,-0.5,0.9975,1.3677,1.9834,2.9272,4.1655
1.0,-0.25,1.3502,1.8506,2.6846,3.9633,5.6429
1.0,-0.0,1.9311,2.6463,3.8359,5.6593,8.0491
1.0,0.25,3.0382,4.162,6.0234,8.8716,12.6071
1.0,0.5,5.0761,6.9331,9.9961,14.653,20.7413
1.0,0.75,8.4153,11.4302,16.3516,23.7737,33.3779
1.0,1.0,10.4525,14.1219,20.0625,28.8892,40.165
1.0,1.25,8.2098,11.0992,15.7578,22.6592,31.4033
1.0,1.5,5.3153,7.207,10.2695,14.8286,20.6341
1.0,2.0,2.3938,3.2547,4.6602,6.7708,9.4916
1.0,3.0,0.8788,1.1965,1.7173,2.507,3.5358
